model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.09999999999999998,0.0,0.07019867549668875,0.03525703984274007,0.49433351322180247,0.04481788079470199,9.80945439160265,1385.095380794702,1.0799980163574219
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.07000000000000006,0.0,0.07036423841059603,0.03525616525939211,0.49811117107393416,0.046258278145695365,9.828361183697025,1370.51190397351,1.0235817432403564
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.12,0.03,0.06920529801324503,0.03503594554372242,0.48354020507285483,0.0405794701986755,9.762085550384016,1418.9283609271524,6.994961738586426
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.08999999999999997,0.03,0.06970198675496689,0.035148347570132354,0.4870480302212628,0.041870860927152316,9.781676415465526,1403.9190397350994,6.526576280593872
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.06999999999999995,0.03,0.0695364238410596,0.03508432982034098,0.489476524554776,0.042897350993377485,9.795272506767551,1393.6489900662252,6.815938711166382
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.040000000000000036,0.03,0.0706953642384106,0.03537814974652149,0.49271451699946034,0.044354304635761586,9.81461201726206,1379.1314735099338,6.28167724609375
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.09999999999999998,0.05,0.06920529801324503,0.035025740729030766,0.48057204533189424,0.03960264900662252,9.75319487739083,1424.6433112582781,7.019370794296265
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.06999999999999995,0.05,0.07003311258278146,0.0352899788087767,0.4832703723691311,0.04096026490066225,9.772242643959475,1410.0758609271522,6.633054256439209
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.04999999999999993,0.05,0.06986754966887417,0.03520538543322494,0.4854290339989207,0.041870860927152316,9.785921456703287,1399.531655629139,6.860617399215698
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.020000000000000018,0.05,0.07019867549668875,0.035197647204502684,0.48974635725849974,0.043096026490066226,9.804675842594627,1385.295811258278,6.507315397262573
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.07000000000000006,0.08,0.06986754966887417,0.03529231508049811,0.47652455477603883,0.03812913907284768,9.739475272317597,1433.6913741721855,6.529948711395264
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.040000000000000036,0.08,0.06986754966887417,0.03530136181616132,0.48003237992444686,0.039536423841059605,9.759290244784577,1418.33380794702,6.471255779266357
NGCF-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.020000000000000018,0.08,0.06970198675496689,0.03519621496879661,0.4824608742579601,0.04043046357615894,9.772561855395109,1408.1270033112582,5.9828574657440186
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.09999999999999998,0.0,0.0695364238410596,0.035114106289018,0.4784133837021047,0.039437086092715234,9.752354245470059,1424.9508278145695,0.3793768882751465
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.06999999999999995,0.0,0.06920529801324503,0.03498057333516737,0.48273070696168374,0.04074503311258278,9.770087638438143,1411.5022185430464,0.38691139221191406
